# z (m)           wake (V/pC)     z (m)          wake-log-term (V/pC)
2.180000e-03    -1.708753e+01    2.180000e-03    -3.490527e+01
2.190000e-03    -1.686272e+01    2.190000e-03    -3.447544e+01
2.200000e-03    -1.662921e+01    2.200000e-03    -3.402844e+01
2.210000e-03    -1.638759e+01    2.210000e-03    -3.356542e+01
2.220000e-03    -1.613784e+01    2.220000e-03    -3.308640e+01
2.230000e-03    -1.588114e+01    2.230000e-03    -3.259293e+01
2.240000e-03    -1.561748e+01    2.240000e-03    -3.208580e+01
2.250000e-03    -1.534725e+01    2.250000e-03    -3.156540e+01
2.260000e-03    -1.507102e+01    2.260000e-03    -3.103251e+01
2.270000e-03    -1.478919e+01    2.270000e-03    -3.048868e+01
2.280000e-03    -1.450195e+01    2.280000e-03    -2.993392e+01
2.290000e-03    -1.421006e+01    2.290000e-03    -2.936940e+01
2.300000e-03    -1.391393e+01    2.300000e-03    -2.879629e+01
2.310000e-03    -1.361373e+01    2.310000e-03    -2.821499e+01
2.320000e-03    -1.331044e+01    2.320000e-03    -2.762705e+01
2.330000e-03    -1.300387e+01    2.330000e-03    -2.703247e+01
2.340000e-03    -1.269459e+01    2.340000e-03    -2.643281e+01
2.350000e-03    -1.238299e+01    2.350000e-03    -2.582808e+01
2.360000e-03    -1.206985e+01    2.360000e-03    -2.521984e+01
2.370000e-03    -1.175515e+01    2.370000e-03    -2.460847e+01
2.380000e-03    -1.143930e+01    2.380000e-03    -2.399516e+01
2.390000e-03    -1.112384e+01    2.390000e-03    -2.338106e+01
2.400000e-03    -1.080837e+01    2.400000e-03    -2.276657e+01
2.410000e-03    -1.049290e+01    2.410000e-03    -2.215208e+01
2.420000e-03    -1.017802e+01    2.420000e-03    -2.153876e+01
2.430000e-03    -9.863712e+00    2.430000e-03    -2.092661e+01
2.440000e-03    -9.551533e+00    2.440000e-03    -2.031798e+01
2.450000e-03    -9.240706e+00    2.450000e-03    -1.971169e+01
2.460000e-03    -8.931620e+00    2.460000e-03    -1.910891e+01
2.470000e-03    -8.624273e+00    2.470000e-03    -1.851004e+01
2.480000e-03    -8.320019e+00    2.480000e-03    -1.791663e+01
2.490000e-03    -8.019630e+00    2.490000e-03    -1.732986e+01
2.500000e-03    -7.722142e+00    2.500000e-03    -1.674855e+01
2.510000e-03    -7.427552e+00    2.510000e-03    -1.617349e+01
2.520000e-03    -7.137409e+00    2.520000e-03    -1.560663e+01
2.530000e-03    -6.852098e+00    2.530000e-03    -1.504758e+01
2.540000e-03    -6.570074e+00    2.540000e-03    -1.449633e+01
2.550000e-03    -6.290948e+00    2.550000e-03    -1.395172e+01
2.560000e-03    -6.018009e+00    2.560000e-03    -1.341727e+01
2.570000e-03    -5.749322e+00    2.570000e-03    -1.289218e+01
2.580000e-03    -5.485274e+00    2.580000e-03    -1.237607e+01
2.590000e-03    -5.225865e+00    2.590000e-03    -1.186894e+01
2.600000e-03    -4.973996e+00    2.600000e-03    -1.137469e+01
2.610000e-03    -4.726378e+00    2.610000e-03    -1.088943e+01
2.620000e-03    -4.483593e+00    2.620000e-03    -1.041431e+01
2.630000e-03    -4.245834e+00    2.630000e-03    -9.949344e+00
2.640000e-03    -4.014454e+00    2.640000e-03    -9.496090e+00
2.650000e-03    -3.788487e+00    2.650000e-03    -9.053376e+00
2.660000e-03    -3.567931e+00    2.660000e-03    -8.621984e+00
2.670000e-03    -3.353368e+00    2.670000e-03    -8.201523e+00
2.680000e-03    -3.144798e+00    2.680000e-03    -7.792774e+00
2.690000e-03    -2.941833e+00    2.690000e-03    -7.394566e+00
2.700000e-03    -2.744280e+00    2.700000e-03    -7.008070e+00
2.710000e-03    -2.552526e+00    2.710000e-03    -6.632506e+00
2.720000e-03    -2.366958e+00    2.720000e-03    -6.268653e+00
2.730000e-03    -2.186803e+00    2.730000e-03    -5.915341e+00
2.740000e-03    -2.012060e+00    2.740000e-03    -5.573350e+00
2.750000e-03    -1.843231e+00    2.750000e-03    -5.242291e+00
2.760000e-03    -1.680183e+00    2.760000e-03    -4.922554e+00
2.770000e-03    -1.522392e+00    2.770000e-03    -4.613747e+00
2.780000e-03    -1.369840e+00    2.780000e-03    -4.314701e+00
2.790000e-03    -1.222874e+00    2.790000e-03    -4.026976e+00
2.800000e-03    -1.081436e+00    2.800000e-03    -3.749480e+00
2.810000e-03    -9.449277e-01    2.810000e-03    -3.482056e+00
2.820000e-03    -8.132131e-01    2.820000e-03    -3.224314e+00
2.830000e-03    -6.869109e-01    2.830000e-03    -2.976839e+00
2.840000e-03    -5.656924e-01    2.840000e-03    -2.739164e+00
2.850000e-03    -4.492099e-01    2.850000e-03    -2.510858e+00
2.860000e-03    -3.368639e-01    2.860000e-03    -2.291219e+00
2.870000e-03    -2.295437e-01    2.870000e-03    -2.081027e+00
2.880000e-03    -1.268551e-01    2.880000e-03    -1.879776e+00
2.890000e-03    -2.855041e-02    2.890000e-03    -1.687153e+00
2.900000e-03    6.582058e-02    2.900000e-03    -1.502532e+00
2.910000e-03    1.560472e-01    2.910000e-03    -1.326033e+00
2.920000e-03    2.422242e-01    2.920000e-03    -1.157458e+00
2.930000e-03    3.239708e-01    2.930000e-03    -9.970816e-01
2.940000e-03    4.021993e-01    2.940000e-03    -8.438496e-01
2.950000e-03    4.773350e-01    2.950000e-03    -6.972154e-01
2.960000e-03    5.484501e-01    2.960000e-03    -5.580378e-01
2.970000e-03    6.162791e-01    2.970000e-03    -4.254579e-01
2.980000e-03    6.801647e-01    2.980000e-03    -2.999560e-01
2.990000e-03    7.415181e-01    2.990000e-03    -1.800564e-01
3.000000e-03    7.997594e-01    3.000000e-03    -6.624698e-02
3.010000e-03    8.550819e-01    3.010000e-03    4.182746e-02
3.020000e-03    9.071182e-01    3.020000e-03    1.438624e-01
3.030000e-03    9.564871e-01    3.030000e-03    2.406074e-01
3.040000e-03    1.003092e+00    3.040000e-03    3.320781e-01
