# f (GHz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
4.1200000e+00    4.4354017e+03    4.4024801e+03
4.1300000e+00    4.4302321e+03    4.3972844e+03
4.1400000e+00    4.4250625e+03    4.3920887e+03
4.1500000e+00    4.4198929e+03    4.3868930e+03
4.1600000e+00    4.4147234e+03    4.3816973e+03
4.1700000e+00    4.4095538e+03    4.3765016e+03
4.1800000e+00    4.4043842e+03    4.3713058e+03
4.1900000e+00    4.3992146e+03    4.3661101e+03
4.2000000e+00    4.3940450e+03    4.3609144e+03
4.2100000e+00    4.3888754e+03    4.3557187e+03
4.2200000e+00    4.3837059e+03    4.3505230e+03
4.2300000e+00    4.3785363e+03    4.3453273e+03
4.2400000e+00    4.3733667e+03    4.3401316e+03
4.2500000e+00    4.3681971e+03    4.3349358e+03
4.2600000e+00    4.3630275e+03    4.3297401e+03
4.2700000e+00    4.3578579e+03    4.3245444e+03
4.2800000e+00    4.3526883e+03    4.3193487e+03
4.2900000e+00    4.3475188e+03    4.3141530e+03
4.3000000e+00    4.3423492e+03    4.3089573e+03
4.3100000e+00    4.3371796e+03    4.3037616e+03
4.3200000e+00    4.3320100e+03    4.2985658e+03
4.3300000e+00    4.3268404e+03    4.2933701e+03
4.3400000e+00    4.3216708e+03    4.2881744e+03
4.3500000e+00    4.3165013e+03    4.2829787e+03
4.3600000e+00    4.3113317e+03    4.2777830e+03
4.3700000e+00    4.3062494e+03    4.2726752e+03
4.3800000e+00    4.3012580e+03    4.2676590e+03
4.3900000e+00    4.2962666e+03    4.2626428e+03
4.4000000e+00    4.2912752e+03    4.2576266e+03
4.4100000e+00    4.2862839e+03    4.2526104e+03
4.4200000e+00    4.2812925e+03    4.2475942e+03
4.4300000e+00    4.2763011e+03    4.2425780e+03
4.4400000e+00    4.2713098e+03    4.2375617e+03
4.4500000e+00    4.2663184e+03    4.2325455e+03
4.4600000e+00    4.2613341e+03    4.2275364e+03
4.4700000e+00    4.2565361e+03    4.2227150e+03
4.4800000e+00    4.2517381e+03    4.2178936e+03
4.4900000e+00    4.2469401e+03    4.2130722e+03
4.5000000e+00    4.2421421e+03    4.2082508e+03
4.5100000e+00    4.2373441e+03    4.2034294e+03
4.5200000e+00    4.2325721e+03    4.1986341e+03
4.5300000e+00    4.2279820e+03    4.1940221e+03
4.5400000e+00    4.2233920e+03    4.1894102e+03
4.5500000e+00    4.2188019e+03    4.1847982e+03
4.5600000e+00    4.2142278e+03    4.1802024e+03
4.5700000e+00    4.2098425e+03    4.1757966e+03
4.5800000e+00    4.2054572e+03    4.1713909e+03
4.5900000e+00    4.2010719e+03    4.1669852e+03
4.6000000e+00    4.1966865e+03    4.1625794e+03
4.6100000e+00    4.1923012e+03    4.1581737e+03
4.6200000e+00    4.1879159e+03    4.1537679e+03
4.6300000e+00    4.1835305e+03    4.1493622e+03
4.6400000e+00    4.1791452e+03    4.1449565e+03
4.6500000e+00    4.1747599e+03    4.1405507e+03
4.6600000e+00    4.1703746e+03    4.1361450e+03
4.6700000e+00    4.1659892e+03    4.1317393e+03
4.6800000e+00    4.1616039e+03    4.1273335e+03
4.6900000e+00    4.1572186e+03    4.1229278e+03
4.7000000e+00    4.1528332e+03    4.1185220e+03
4.7100000e+00    4.1484479e+03    4.1141163e+03
4.7200000e+00    4.1440626e+03    4.1097106e+03
4.7300000e+00    4.1396773e+03    4.1053048e+03
4.7400000e+00    4.1352919e+03    4.1008991e+03
4.7500000e+00    4.1309066e+03    4.0964934e+03
