# f (Hz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
2.6100000e+03    1.4054040e+07    5.4089237e+07
2.6200000e+03    1.4059379e+07    5.4058584e+07
2.6300000e+03    1.4064279e+07    5.4029258e+07
2.6400000e+03    1.4067819e+07    5.4003989e+07
2.6500000e+03    1.4071354e+07    5.3978720e+07
2.6600000e+03    1.4074735e+07    5.3953518e+07
2.6700000e+03    1.4077025e+07    5.3928776e+07
2.6800000e+03    1.4079315e+07    5.3904034e+07
2.6900000e+03    1.4081606e+07    5.3879292e+07
2.7000000e+03    1.4083896e+07    5.3854550e+07
2.7100000e+03    1.4086187e+07    5.3829809e+07
2.7200000e+03    1.4088477e+07    5.3805067e+07
2.7300000e+03    1.4090768e+07    5.3780325e+07
2.7400000e+03    1.4093058e+07    5.3755583e+07
2.7500000e+03    1.4095348e+07    5.3730841e+07
2.7600000e+03    1.4097639e+07    5.3706099e+07
2.7700000e+03    1.4099929e+07    5.3681357e+07
2.7800000e+03    1.4102220e+07    5.3656615e+07
2.7900000e+03    1.4104510e+07    5.3631874e+07
2.8000000e+03    1.4106800e+07    5.3607132e+07
2.8100000e+03    1.4109091e+07    5.3582390e+07
2.8200000e+03    1.4111381e+07    5.3557648e+07
2.8300000e+03    1.4113672e+07    5.3532906e+07
2.8400000e+03    1.4115962e+07    5.3508164e+07
2.8500000e+03    1.4118252e+07    5.3483422e+07
2.8600000e+03    1.4120543e+07    5.3458680e+07
2.8700000e+03    1.4122833e+07    5.3433939e+07
2.8800000e+03    1.4125124e+07    5.3409197e+07
2.8900000e+03    1.4127414e+07    5.3384455e+07
2.9000000e+03    1.4129704e+07    5.3359713e+07
2.9100000e+03    1.4131995e+07    5.3334971e+07
2.9200000e+03    1.4134285e+07    5.3310229e+07
2.9300000e+03    1.4136576e+07    5.3285487e+07
2.9400000e+03    1.4138866e+07    5.3260745e+07
2.9500000e+03    1.4141157e+07    5.3236004e+07
2.9600000e+03    1.4143447e+07    5.3211262e+07
2.9700000e+03    1.4145737e+07    5.3186520e+07
2.9800000e+03    1.4148028e+07    5.3161778e+07
2.9900000e+03    1.4150318e+07    5.3137036e+07
3.0000000e+03    1.4152609e+07    5.3112294e+07
3.0100000e+03    1.4154899e+07    5.3087552e+07
3.0200000e+03    1.4157189e+07    5.3062811e+07
3.0300000e+03    1.4159480e+07    5.3038069e+07
3.0400000e+03    1.4161770e+07    5.3013327e+07
3.0500000e+03    1.4164061e+07    5.2988585e+07
3.0600000e+03    1.4166351e+07    5.2963843e+07
3.0700000e+03    1.4168641e+07    5.2939101e+07
3.0800000e+03    1.4170946e+07    5.2914384e+07
3.0900000e+03    1.4173260e+07    5.2889685e+07
3.1000000e+03    1.4175575e+07    5.2864986e+07
3.1100000e+03    1.4177889e+07    5.2840287e+07
3.1200000e+03    1.4180204e+07    5.2815587e+07
3.1300000e+03    1.4182518e+07    5.2790888e+07
3.1400000e+03    1.4184833e+07    5.2766189e+07
3.1500000e+03    1.4187147e+07    5.2741490e+07
3.1600000e+03    1.4189462e+07    5.2716791e+07
