# Frequency [GHz]	Re(Z) [Ohm/m]	Im(Z) [Ohm/m]	|Z| [Ohm/m]
1.259298e+00	-1.495040e-01	2.397589e-02	1.514143e-01
1.264295e+00	-1.478601e-01	2.597553e-02	1.501245e-01
1.269292e+00	-1.461914e-01	2.793770e-02	1.488370e-01
1.274290e+00	-1.444987e-01	2.986208e-02	1.475520e-01
1.279287e+00	-1.427825e-01	3.174841e-02	1.462697e-01
1.284284e+00	-1.410438e-01	3.359640e-02	1.449899e-01
1.289281e+00	-1.392832e-01	3.540580e-02	1.437129e-01
1.294278e+00	-1.375015e-01	3.717637e-02	1.424386e-01
1.299276e+00	-1.356995e-01	3.890788e-02	1.411672e-01
1.304273e+00	-1.338778e-01	4.060011e-02	1.398987e-01
1.309270e+00	-1.320374e-01	4.225287e-02	1.386332e-01
1.314267e+00	-1.301788e-01	4.386597e-02	1.373708e-01
1.319265e+00	-1.283028e-01	4.543924e-02	1.361115e-01
1.324262e+00	-1.264104e-01	4.697252e-02	1.348555e-01
1.329259e+00	-1.245020e-01	4.846566e-02	1.336027e-01
1.334256e+00	-1.225787e-01	4.991853e-02	1.323533e-01
1.339253e+00	-1.206410e-01	5.133102e-02	1.311073e-01
1.344251e+00	-1.186898e-01	5.270303e-02	1.298648e-01
1.349248e+00	-1.167258e-01	5.403446e-02	1.286260e-01
1.354245e+00	-1.147498e-01	5.532525e-02	1.273907e-01
1.359242e+00	-1.127625e-01	5.657532e-02	1.261592e-01
1.364239e+00	-1.107647e-01	5.778464e-02	1.249316e-01
1.369237e+00	-1.087572e-01	5.895317e-02	1.237078e-01
1.374234e+00	-1.067407e-01	6.008089e-02	1.224879e-01
1.379231e+00	-1.047160e-01	6.116779e-02	1.212721e-01
1.384228e+00	-1.026837e-01	6.221389e-02	1.200605e-01
1.389226e+00	-1.006447e-01	6.321920e-02	1.188530e-01
1.394223e+00	-9.859973e-02	6.418376e-02	1.176497e-01
1.399220e+00	-9.654950e-02	6.510761e-02	1.164509e-01
1.404217e+00	-9.449475e-02	6.599082e-02	1.152564e-01
1.409214e+00	-9.243623e-02	6.683345e-02	1.140665e-01
1.414212e+00	-9.037466e-02	6.763561e-02	1.128812e-01
1.419209e+00	-8.831079e-02	6.839738e-02	1.117005e-01
1.424206e+00	-8.624533e-02	6.911888e-02	1.105246e-01
1.429203e+00	-8.417901e-02	6.980024e-02	1.093535e-01
1.434200e+00	-8.211255e-02	7.044160e-02	1.081873e-01
1.439198e+00	-8.004665e-02	7.104310e-02	1.070261e-01
1.444195e+00	-7.798204e-02	7.160491e-02	1.058700e-01
1.449192e+00	-7.591940e-02	7.212721e-02	1.047191e-01
1.454189e+00	-7.385945e-02	7.261018e-02	1.035734e-01
1.459187e+00	-7.180286e-02	7.305403e-02	1.024331e-01
1.464184e+00	-6.975034e-02	7.345897e-02	1.012982e-01
1.469181e+00	-6.770256e-02	7.382521e-02	1.001688e-01
1.474178e+00	-6.566019e-02	7.415301e-02	9.904509e-02
1.479175e+00	-6.362391e-02	7.444260e-02	9.792703e-02
1.484173e+00	-6.159438e-02	7.469424e-02	9.681476e-02
1.489170e+00	-5.957225e-02	7.490821e-02	9.570838e-02
1.494167e+00	-5.755817e-02	7.508479e-02	9.460798e-02
1.499164e+00	-5.555279e-02	7.522427e-02	9.351365e-02
1.504161e+00	-5.355674e-02	7.532695e-02	9.242550e-02
1.509159e+00	-5.157065e-02	7.539314e-02	9.134362e-02
1.514156e+00	-4.959513e-02	7.542318e-02	9.026812e-02
1.519153e+00	-4.763081e-02	7.541739e-02	8.919908e-02
1.524150e+00	-4.567827e-02	7.537613e-02	8.813663e-02
1.529148e+00	-4.373813e-02	7.529974e-02	8.708085e-02
1.534145e+00	-4.181097e-02	7.518859e-02	8.603186e-02
1.539142e+00	-3.989736e-02	7.504306e-02	8.498976e-02
1.544139e+00	-3.799788e-02	7.486353e-02	8.395467e-02
1.549136e+00	-3.611309e-02	7.465039e-02	8.292669e-02
1.554134e+00	-3.424354e-02	7.440405e-02	8.190594e-02
1.559131e+00	-3.238978e-02	7.412492e-02	8.089253e-02
1.564128e+00	-3.055234e-02	7.381342e-02	7.988659e-02
1.569125e+00	-2.873174e-02	7.346998e-02	7.888822e-02
1.574122e+00	-2.692851e-02	7.309503e-02	7.789755e-02
1.579120e+00	-2.514316e-02	7.268902e-02	7.691471e-02
1.584117e+00	-2.337616e-02	7.225241e-02	7.593982e-02
1.589114e+00	-2.162802e-02	7.178565e-02	7.497301e-02
1.594111e+00	-1.989922e-02	7.128922e-02	7.401440e-02
1.599108e+00	-1.819021e-02	7.076359e-02	7.306414e-02
1.604106e+00	-1.650145e-02	7.020924e-02	7.212236e-02
1.609103e+00	-1.483339e-02	6.962667e-02	7.118920e-02
1.614100e+00	-1.318647e-02	6.901636e-02	7.026480e-02
1.619097e+00	-1.156111e-02	6.837884e-02	6.934929e-02
1.624095e+00	-9.957727e-03	6.771459e-02	6.844284e-02
1.629092e+00	-8.376724e-03	6.702415e-02	6.754559e-02
1.634089e+00	-6.818494e-03	6.630804e-02	6.665769e-02
1.639086e+00	-5.283420e-03	6.556677e-02	6.577929e-02
1.644083e+00	-3.771873e-03	6.480089e-02	6.491057e-02
1.649081e+00	-2.284213e-03	6.401093e-02	6.405167e-02
1.654078e+00	-8.207896e-04	6.319743e-02	6.320276e-02
1.659075e+00	6.180590e-04	6.236095e-02	6.236401e-02
1.664072e+00	2.032006e-03	6.150204e-02	6.153560e-02
1.669069e+00	3.420736e-03	6.062125e-02	6.071769e-02
1.674067e+00	4.783946e-03	5.971915e-02	5.991046e-02
1.679064e+00	6.121341e-03	5.879630e-02	5.911409e-02
1.684061e+00	7.432641e-03	5.785326e-02	5.832876e-02
1.689058e+00	8.717577e-03	5.689063e-02	5.755466e-02
1.694056e+00	9.975889e-03	5.590895e-02	5.679199e-02
1.699053e+00	1.120733e-02	5.490883e-02	5.604091e-02
1.704050e+00	1.241167e-02	5.389084e-02	5.530164e-02
1.709047e+00	1.358868e-02	5.285556e-02	5.457437e-02
1.714044e+00	1.473814e-02	5.180357e-02	5.385929e-02
1.719042e+00	1.585987e-02	5.073548e-02	5.315660e-02
1.724039e+00	1.695367e-02	4.965186e-02	5.246651e-02
1.729036e+00	1.801936e-02	4.855332e-02	5.178921e-02
1.734033e+00	1.905678e-02	4.744044e-02	5.112491e-02
1.739030e+00	2.006578e-02	4.631382e-02	5.047381e-02
1.744028e+00	2.104621e-02	4.517406e-02	4.983612e-02
1.749025e+00	2.199794e-02	4.402175e-02	4.921203e-02
1.754022e+00	2.292085e-02	4.285749e-02	4.860175e-02
1.759019e+00	2.381485e-02	4.168187e-02	4.800547e-02
1.764017e+00	2.467982e-02	4.049551e-02	4.742341e-02
1.769014e+00	2.551569e-02	3.929898e-02	4.685574e-02
1.774011e+00	2.632239e-02	3.809290e-02	4.630267e-02
1.779008e+00	2.709985e-02	3.687785e-02	4.576438e-02
1.784005e+00	2.784803e-02	3.565444e-02	4.524105e-02
1.789003e+00	2.856689e-02	3.442326e-02	4.473285e-02
1.794000e+00	2.925639e-02	3.318490e-02	4.423996e-02
1.798997e+00	2.991654e-02	3.193996e-02	4.376254e-02
1.803994e+00	3.054731e-02	3.068903e-02	4.330075e-02
1.808991e+00	3.114872e-02	2.943269e-02	4.285471e-02
1.813989e+00	3.172080e-02	2.817154e-02	4.242457e-02
1.818986e+00	3.226355e-02	2.690615e-02	4.201045e-02
1.823983e+00	3.277704e-02	2.563712e-02	4.161245e-02
1.828980e+00	3.326131e-02	2.436502e-02	4.123068e-02
1.833978e+00	3.371641e-02	2.309043e-02	4.086520e-02
1.838975e+00	3.414243e-02	2.181392e-02	4.051608e-02
1.843972e+00	3.453945e-02	2.053607e-02	4.018338e-02
1.848969e+00	3.490757e-02	1.925744e-02	3.986712e-02
1.853966e+00	3.524688e-02	1.797859e-02	3.956731e-02
1.858964e+00	3.555750e-02	1.670010e-02	3.928395e-02
1.863961e+00	3.583956e-02	1.542250e-02	3.901702e-02
1.868958e+00	3.609320e-02	1.414636e-02	3.876646e-02
1.873955e+00	3.631856e-02	1.287223e-02	3.853222e-02
1.878952e+00	3.651579e-02	1.160064e-02	3.831420e-02
1.883950e+00	3.668507e-02	1.033213e-02	3.811230e-02
1.888947e+00	3.682657e-02	9.067241e-03	3.792639e-02
1.893944e+00	3.694047e-02	7.806499e-03	3.775632e-02
1.898941e+00	3.702697e-02	6.550427e-03	3.760192e-02
1.903939e+00	3.708627e-02	5.299543e-03	3.746301e-02
1.908936e+00	3.711859e-02	4.054359e-03	3.733936e-02
1.913933e+00	3.712415e-02	2.815381e-03	3.723075e-02
1.918930e+00	3.710318e-02	1.583111e-03	3.713694e-02
1.923927e+00	3.705593e-02	3.580435e-04	3.705766e-02
1.928925e+00	3.698263e-02	-8.593339e-04	3.699262e-02
1.933922e+00	3.688356e-02	-2.068539e-03	3.694152e-02
1.938919e+00	3.675897e-02	-3.269095e-03	3.690405e-02
1.943916e+00	3.660914e-02	-4.460535e-03	3.687988e-02
1.948913e+00	3.643436e-02	-5.642395e-03	3.686867e-02
1.953911e+00	3.623491e-02	-6.814221e-03	3.687008e-02
1.958908e+00	3.601110e-02	-7.975565e-03	3.688372e-02
1.963905e+00	3.576323e-02	-9.125985e-03	3.690924e-02
1.968902e+00	3.549161e-02	-1.026505e-02	3.694625e-02
1.973900e+00	3.519657e-02	-1.139233e-02	3.699437e-02
1.978897e+00	3.487843e-02	-1.250740e-02	3.705321e-02
1.983894e+00	3.453754e-02	-1.360987e-02	3.712237e-02
1.988891e+00	3.417423e-02	-1.469932e-02	3.720145e-02
1.993888e+00	3.378886e-02	-1.577536e-02	3.729006e-02
1.998886e+00	3.338177e-02	-1.683760e-02	3.738780e-02
2.003883e+00	3.295334e-02	-1.788566e-02	3.749426e-02
2.008880e+00	3.250393e-02	-1.891918e-02	3.760905e-02
2.013877e+00	3.203391e-02	-1.993778e-02	3.773177e-02
2.018874e+00	3.154367e-02	-2.094113e-02	3.786204e-02
2.023872e+00	3.103359e-02	-2.192886e-02	3.799946e-02
2.028869e+00	3.050407e-02	-2.290065e-02	3.814365e-02
2.033866e+00	2.995550e-02	-2.385616e-02	3.829423e-02
2.038863e+00	2.938828e-02	-2.479508e-02	3.845084e-02
2.043861e+00	2.880282e-02	-2.571710e-02	3.861311e-02
2.048858e+00	2.819954e-02	-2.662191e-02	3.878067e-02
2.053855e+00	2.757885e-02	-2.750923e-02	3.895318e-02
2.058852e+00	2.694117e-02	-2.837876e-02	3.913030e-02
2.063849e+00	2.628692e-02	-2.923024e-02	3.931169e-02
