# time [s]	Wlong [V/C]	Wxdip [V/C.m]	Wydip [V/C.m]	Wxquad [V/C.m]	Wyquad [V/C.m]
3.775945557643001e-10	5.948485873197583e+12	1.998124720650260e+15	4.329509877309970e+15	-4.980119315771540e+14	7.221014455077804e+14
3.776078983281000e-10	5.941174652922095e+12	1.998281137556120e+15	4.329601704695336e+15	-4.980047570022495e+14	7.220773263232545e+14
3.776212408919000e-10	5.933873496325580e+12	1.998437555614981e+15	4.329693533319704e+15	-4.979975825087450e+14	7.220532072201286e+14
3.776345834557000e-10	5.926582646661092e+12	1.998593974724841e+15	4.329785363077071e+15	-4.979904080896005e+14	7.220290881913628e+14
3.776479260195000e-10	5.919302343969604e+12	1.998750394787701e+15	4.329877193858438e+15	-4.979832337377361e+14	7.220049692298770e+14
3.776612685833001e-10	5.912032824977089e+12	1.998906815702562e+15	4.329969025557805e+15	-4.979760594461016e+14	7.219808503286211e+14
3.776746111472001e-10	5.904582233696534e+12	1.999063011139270e+15	4.330060889093647e+15	-4.979688852075346e+14	7.219567314803058e+14
3.776879537110000e-10	5.896768122485424e+12	1.999218765844266e+15	4.330152813862662e+15	-4.979617110150401e+14	7.219326126781900e+14
3.777012962748000e-10	5.888965951972316e+12	1.999374521101263e+15	4.330244739223680e+15	-4.979545368614656e+14	7.219084939149942e+14
3.777146388386000e-10	5.881174541743179e+12	1.999530276807260e+15	4.330336665069697e+15	-4.979473627397012e+14	7.218843751836084e+14
3.777279814024000e-10	5.873394274700067e+12	1.999686032864256e+15	4.330428591292714e+15	-4.979401886426468e+14	7.218602564769325e+14
3.777413239662001e-10	5.865626457790930e+12	1.999841789169253e+15	4.330520517782732e+15	-4.979330145631622e+14	7.218361377878266e+14
3.777546665300000e-10	5.857873776954388e+12	1.999996798024769e+15	4.330609650038425e+15	-4.979259451579550e+14	7.218112587427559e+14
3.777680090938000e-10	5.850131385568277e+12	2.000151700125766e+15	4.330698383139446e+15	-4.979188907083205e+14	7.217862710755005e+14
3.777813516576000e-10	5.842401805440139e+12	2.000306602173764e+15	4.330787116183463e+15	-4.979118362549559e+14	7.217612834045152e+14
3.777946942214000e-10	5.834685173453030e+12	2.000461504068761e+15	4.330875849062482e+15	-4.979047817907614e+14	7.217362957227000e+14
3.778080367852000e-10	5.826944346856710e+12	2.000616170495443e+15	4.330964607680630e+15	-4.978977273086568e+14	7.217113080229748e+14
3.778213793490000e-10	5.819143355137616e+12	2.000770373133333e+15	4.331053415962562e+15	-4.978906735246288e+14	7.216863162636126e+14
3.778347219129001e-10	5.811355937818654e+12	2.000924560234192e+15	4.331142180809944e+15	-4.978836465055074e+14	7.216611749447206e+14
3.778480644767000e-10	5.803582219096777e+12	2.001078746782734e+15	4.331230945062488e+15	-4.978766194474474e+14	7.216360335870258e+14
3.778614070405000e-10	5.795824015912900e+12	2.001232932677277e+15	4.331319708611032e+15	-4.978695923431974e+14	7.216108921831410e+14
3.778747496043000e-10	5.788076574806990e+12	2.001387117819820e+15	4.331408471351577e+15	-4.978625651858374e+14	7.215857507261460e+14
3.778880921681000e-10	5.780344987132110e+12	2.001541302112363e+15	4.331497233177121e+15	-4.978555379684074e+14	7.215606092090810e+14
3.779014347319001e-10	5.772627773800201e+12	2.001695485455906e+15	4.331585993981666e+15	-4.978485106839374e+14	7.215354676249760e+14
3.779147772957000e-10	5.764925091119322e+12	2.001849667752448e+15	4.331674753659210e+15	-4.978414833255074e+14	7.215103259669112e+14
