# f (Hz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
3.2800000e+03    3.1821497e+06    4.8020523e+06
3.2900000e+03    3.1799461e+06    4.7956741e+06
3.3000000e+03    3.1777424e+06    4.7892960e+06
3.3100000e+03    3.1755388e+06    4.7829178e+06
3.3200000e+03    3.1733351e+06    4.7765397e+06
3.3300000e+03    3.1711315e+06    4.7701615e+06
3.3400000e+03    3.1689278e+06    4.7637833e+06
3.3500000e+03    3.1667242e+06    4.7574052e+06
3.3600000e+03    3.1645206e+06    4.7510270e+06
3.3700000e+03    3.1623169e+06    4.7446489e+06
3.3800000e+03    3.1601133e+06    4.7382707e+06
3.3900000e+03    3.1579096e+06    4.7318925e+06
3.4000000e+03    3.1557060e+06    4.7255144e+06
3.4100000e+03    3.1535023e+06    4.7191362e+06
3.4200000e+03    3.1512987e+06    4.7127581e+06
3.4300000e+03    3.1490951e+06    4.7063799e+06
3.4400000e+03    3.1468914e+06    4.7000017e+06
3.4500000e+03    3.1446878e+06    4.6936236e+06
3.4600000e+03    3.1424841e+06    4.6872454e+06
3.4700000e+03    3.1402805e+06    4.6808673e+06
3.4800000e+03    3.1380768e+06    4.6744891e+06
3.4900000e+03    3.1358732e+06    4.6681110e+06
3.5000000e+03    3.1336696e+06    4.6617328e+06
3.5100000e+03    3.1314659e+06    4.6553546e+06
3.5200000e+03    3.1292623e+06    4.6489765e+06
3.5300000e+03    3.1270586e+06    4.6425983e+06
3.5400000e+03    3.1248550e+06    4.6362202e+06
3.5500000e+03    3.1226513e+06    4.6298420e+06
3.5600000e+03    3.1204477e+06    4.6234638e+06
3.5700000e+03    3.1182441e+06    4.6170857e+06
3.5800000e+03    3.1160404e+06    4.6107075e+06
3.5900000e+03    3.1138368e+06    4.6043294e+06
3.6000000e+03    3.1116331e+06    4.5979512e+06
3.6100000e+03    3.1094295e+06    4.5915730e+06
3.6200000e+03    3.1072258e+06    4.5851949e+06
3.6300000e+03    3.1050222e+06    4.5788167e+06
3.6400000e+03    3.1028186e+06    4.5724386e+06
3.6500000e+03    3.1006149e+06    4.5660604e+06
3.6600000e+03    3.0984113e+06    4.5596822e+06
3.6700000e+03    3.0962076e+06    4.5533041e+06
3.6800000e+03    3.0940040e+06    4.5469259e+06
3.6900000e+03    3.0918003e+06    4.5405478e+06
3.7000000e+03    3.0895967e+06    4.5341696e+06
3.7100000e+03    3.0873931e+06    4.5277914e+06
3.7200000e+03    3.0851894e+06    4.5214133e+06
3.7300000e+03    3.0829858e+06    4.5150351e+06
3.7400000e+03    3.0807821e+06    4.5086570e+06
3.7500000e+03    3.0785785e+06    4.5022788e+06
3.7600000e+03    3.0763748e+06    4.4959006e+06
3.7700000e+03    3.0741712e+06    4.4895225e+06
3.7800000e+03    3.0719676e+06    4.4831443e+06
3.7900000e+03    3.0697639e+06    4.4767662e+06
3.8000000e+03    3.0675603e+06    4.4703880e+06
3.8100000e+03    3.0653566e+06    4.4640098e+06
3.8200000e+03    3.0631530e+06    4.4576317e+06
3.8300000e+03    3.0609494e+06    4.4512535e+06
3.8400000e+03    3.0587457e+06    4.4448754e+06
3.8500000e+03    3.0565421e+06    4.4384972e+06
3.8600000e+03    3.0543384e+06    4.4321191e+06
3.8700000e+03    3.0521348e+06    4.4257409e+06
3.8800000e+03    3.0499311e+06    4.4193627e+06
3.8900000e+03    3.0477275e+06    4.4129846e+06
3.9000000e+03    3.0455239e+06    4.4066064e+06
3.9100000e+03    3.0433202e+06    4.4002283e+06
3.9200000e+03    3.0411166e+06    4.3938501e+06
3.9300000e+03    3.0389129e+06    4.3874719e+06
3.9400000e+03    3.0367093e+06    4.3810938e+06
3.9500000e+03    3.0345056e+06    4.3747156e+06
3.9600000e+03    3.0323020e+06    4.3683375e+06
3.9700000e+03    3.0300984e+06    4.3619593e+06
3.9800000e+03    3.0278947e+06    4.3555811e+06
3.9900000e+03    3.0256911e+06    4.3492030e+06
4.0000000e+03    3.0234874e+06    4.3428248e+06
4.0100000e+03    3.0212838e+06    4.3364467e+06
4.0200000e+03    3.0190801e+06    4.3300685e+06
4.0300000e+03    3.0168765e+06    4.3236903e+06
4.0400000e+03    3.0146729e+06    4.3173122e+06
4.0500000e+03    3.0124692e+06    4.3109340e+06
4.0600000e+03    3.0102656e+06    4.3045559e+06
4.0700000e+03    3.0080619e+06    4.2981777e+06
4.0800000e+03    3.0058583e+06    4.2917995e+06
4.0900000e+03    3.0036546e+06    4.2854214e+06
4.1000000e+03    3.0014510e+06    4.2790432e+06
4.1100000e+03    2.9992474e+06    4.2726651e+06
4.1200000e+03    2.9970437e+06    4.2662869e+06
4.1300000e+03    2.9948401e+06    4.2599087e+06
4.1400000e+03    2.9926364e+06    4.2535306e+06
4.1500000e+03    2.9904328e+06    4.2471524e+06
4.1600000e+03    2.9882291e+06    4.2407743e+06
4.1700000e+03    2.9860255e+06    4.2343961e+06
4.1800000e+03    2.9838966e+06    4.2284080e+06
4.1900000e+03    2.9823925e+06    4.2256805e+06
4.2000000e+03    2.9808884e+06    4.2229529e+06
4.2100000e+03    2.9793844e+06    4.2202253e+06
