     f(GHz)     Re[Z] kOhm         Im[Z] kOhm      Re[Z]+log kOhm       Im[Z]+log kOhm
    116.12      0.67693E-01         0.36917E-02      0.13388              0.36916E-02
    116.59      0.67894E-01         0.38001E-02      0.13408              0.38000E-02
    117.06      0.68150E-01         0.38750E-02      0.13434              0.38749E-02
    117.53      0.68450E-01         0.38976E-02      0.13464              0.38974E-02
    118.00      0.68781E-01         0.38509E-02      0.13497              0.38507E-02
    118.46      0.69121E-01         0.37207E-02      0.13531              0.37206E-02
    118.93      0.69443E-01         0.35007E-02      0.13563              0.35006E-02
    119.40      0.69715E-01         0.31974E-02      0.13591              0.31973E-02
    119.87      0.69911E-01         0.28308E-02      0.13610              0.28306E-02
    120.34      0.70016E-01         0.24282E-02      0.13621              0.24281E-02
    120.80      0.70029E-01         0.20171E-02      0.13622              0.20169E-02
    121.27      0.69951E-01         0.16215E-02      0.13615              0.16213E-02
    121.74      0.69791E-01         0.12637E-02      0.13599              0.12636E-02
    122.21      0.69564E-01         0.96513E-03      0.13576              0.96498E-03
    122.68      0.69293E-01         0.74246E-03      0.13549              0.74231E-03
    123.15      0.69006E-01         0.60133E-03      0.13521              0.60117E-03
    123.61      0.68731E-01         0.53345E-03      0.13493              0.53330E-03
    124.08      0.68487E-01         0.52076E-03      0.13469              0.52061E-03
    124.55      0.68282E-01         0.54315E-03      0.13448              0.54299E-03
    125.02      0.68115E-01         0.58350E-03      0.13432              0.58334E-03
    125.49      0.67984E-01         0.62744E-03      0.13419              0.62728E-03
    125.96      0.67880E-01         0.66140E-03      0.13409              0.66124E-03
    126.42      0.67791E-01         0.67412E-03      0.13400              0.67396E-03
    126.89      0.67699E-01         0.66157E-03      0.13391              0.66141E-03
    127.36      0.67581E-01         0.63116E-03      0.13379              0.63100E-03
    127.83      0.67426E-01         0.60083E-03      0.13364              0.60067E-03
    128.30      0.67232E-01         0.59267E-03      0.13344              0.59251E-03
    128.76      0.67005E-01         0.62601E-03      0.13322              0.62585E-03
    129.23      0.66760E-01         0.71471E-03      0.13297              0.71455E-03
    129.70      0.66514E-01         0.86837E-03      0.13273              0.86821E-03
    130.17      0.66284E-01         0.10932E-02      0.13250              0.10931E-02
    130.64      0.66098E-01         0.13895E-02      0.13231              0.13893E-02
    131.11      0.65979E-01         0.17466E-02      0.13220              0.17464E-02
    131.57      0.65952E-01         0.21418E-02      0.13217              0.21417E-02
    132.04      0.66025E-01         0.25449E-02      0.13224              0.25448E-02
    132.51      0.66198E-01         0.29255E-02      0.13242              0.29253E-02
    132.98      0.66458E-01         0.32579E-02      0.13268              0.32578E-02
    133.45      0.66790E-01         0.35216E-02      0.13301              0.35214E-02
    133.92      0.67174E-01         0.36993E-02      0.13340              0.36992E-02
    134.38      0.67585E-01         0.37796E-02      0.13381              0.37795E-02
    134.85      0.67991E-01         0.37606E-02      0.13422              0.37604E-02
    135.32      0.68364E-01         0.36525E-02      0.13459              0.36523E-02
    135.79      0.68684E-01         0.34753E-02      0.13491              0.34752E-02
    136.26      0.68940E-01         0.32522E-02      0.13517              0.32520E-02
    136.72      0.69130E-01         0.30043E-02      0.13536              0.30041E-02
    137.19      0.69259E-01         0.27501E-02      0.13549              0.27499E-02
    137.66      0.69333E-01         0.25056E-02      0.13556              0.25054E-02
    138.13      0.69365E-01         0.22834E-02      0.13560              0.22833E-02
    138.60      0.69372E-01         0.20899E-02      0.13561              0.20897E-02
    139.07      0.69372E-01         0.19218E-02      0.13561              0.19216E-02
    139.53      0.69376E-01         0.17675E-02      0.13561              0.17674E-02
    140.00      0.69386E-01         0.16124E-02      0.13562              0.16122E-02
    140.47      0.69398E-01         0.14441E-02      0.13564              0.14439E-02
    140.94      0.69401E-01         0.12554E-02      0.13564              0.12553E-02
    141.41      0.69384E-01         0.10435E-02      0.13562              0.10433E-02
    141.88      0.69334E-01         0.80838E-03      0.13557              0.80820E-03
    142.34      0.69236E-01         0.55557E-03      0.13548              0.55540E-03
    142.81      0.69073E-01         0.29920E-03      0.13532              0.29902E-03
    143.28      0.68837E-01         0.62742E-04      0.13508              0.62565E-04
    143.75      0.68530E-01        -0.12612E-03      0.13477             -0.12630E-03
    144.22      0.68166E-01        -0.24291E-03      0.13441             -0.24309E-03
    144.68      0.67767E-01        -0.27050E-03      0.13401             -0.27068E-03
    145.15      0.67357E-01        -0.19859E-03      0.13360             -0.19877E-03
    145.62      0.66961E-01        -0.22091E-04      0.13321             -0.22270E-04
    146.09      0.66612E-01         0.25749E-03      0.13286              0.25731E-03
    146.56      0.66339E-01         0.62777E-03      0.13259              0.62759E-03
    147.03      0.66170E-01         0.10635E-02      0.13242              0.10633E-02
    147.49      0.66122E-01         0.15303E-02      0.13237              0.15301E-02
    147.96      0.66195E-01         0.19920E-02      0.13245              0.19918E-02
    148.43      0.66381E-01         0.24167E-02      0.13264              0.24165E-02
    148.90      0.66664E-01         0.27783E-02      0.13292              0.27781E-02
    149.37      0.67024E-01         0.30553E-02      0.13328              0.30551E-02
    149.84      0.67435E-01         0.32307E-02      0.13369              0.32306E-02
    150.30      0.67867E-01         0.32958E-02      0.13413              0.32956E-02
    150.77      0.68285E-01         0.32534E-02      0.13455              0.32532E-02
    151.24      0.68664E-01         0.31188E-02      0.13492              0.31186E-02
    151.71      0.68983E-01         0.29135E-02      0.13525              0.29134E-02
    152.18      0.69237E-01         0.26594E-02      0.13550              0.26592E-02
    152.64      0.69423E-01         0.23746E-02      0.13569              0.23744E-02
    153.11      0.69542E-01         0.20750E-02      0.13581              0.20748E-02
    153.58      0.69597E-01         0.17757E-02      0.13586              0.17755E-02
    154.05      0.69596E-01         0.14905E-02      0.13586              0.14903E-02
    154.52      0.69551E-01         0.12269E-02      0.13582              0.12267E-02
    154.99      0.69473E-01         0.98494E-03      0.13574              0.98475E-03
    155.45      0.69367E-01         0.76069E-03      0.13564              0.76050E-03
    155.92      0.69230E-01         0.55209E-03      0.13550              0.55190E-03
    156.39      0.69059E-01         0.36267E-03      0.13533              0.36248E-03
    156.86      0.68851E-01         0.20022E-03      0.13512              0.20003E-03
    157.33      0.68609E-01         0.73554E-04      0.13488              0.73363E-04
    157.79      0.68334E-01        -0.80777E-05      0.13461             -0.82690E-05
    158.26      0.68031E-01        -0.32978E-04      0.13431             -0.33169E-04
    158.73      0.67710E-01         0.13341E-04      0.13399              0.13149E-04
    159.20      0.67390E-01         0.14460E-03      0.13367              0.14440E-03
    159.67      0.67097E-01         0.36779E-03      0.13338              0.36760E-03
    160.14      0.66862E-01         0.67859E-03      0.13314              0.67840E-03
    160.60      0.66714E-01         0.10608E-02      0.13300              0.10606E-02
    161.07      0.66677E-01         0.14894E-02      0.13296              0.14892E-02
    161.54      0.66765E-01         0.19325E-02      0.13305              0.19323E-02
    162.01      0.66988E-01         0.23520E-02      0.13327              0.23518E-02
    162.48      0.67340E-01         0.27047E-02      0.13363              0.27045E-02
    162.95      0.67802E-01         0.29464E-02      0.13409              0.29462E-02
    163.41      0.68336E-01         0.30402E-02      0.13462              0.30400E-02
    163.88      0.68891E-01         0.29640E-02      0.13518              0.29638E-02
    164.35      0.69410E-01         0.27145E-02      0.13570              0.27143E-02
    164.82      0.69838E-01         0.23070E-02      0.13613              0.23068E-02
    165.29      0.70124E-01         0.17738E-02      0.13642              0.17736E-02
    165.75      0.70228E-01         0.11639E-02      0.13652              0.11637E-02
    166.22      0.70127E-01         0.54147E-03      0.13642              0.54127E-03
    166.69      0.69820E-01        -0.19833E-04      0.13611             -0.20033E-04
    167.16      0.69335E-01        -0.44765E-03      0.13563             -0.44785E-03
    167.63      0.68729E-01        -0.68381E-03      0.13503             -0.68401E-03
    168.10      0.68076E-01        -0.69347E-03      0.13437             -0.69367E-03
    168.56      0.67456E-01        -0.46850E-03      0.13376             -0.46870E-03
    169.03      0.66954E-01        -0.28878E-04      0.13325             -0.29081E-04
    169.50      0.66647E-01         0.57516E-03      0.13295              0.57495E-03
    169.97      0.66591E-01         0.12630E-02      0.13289              0.12628E-02
    170.44      0.66811E-01         0.19305E-02      0.13311              0.19303E-02
    170.91      0.67284E-01         0.24662E-02      0.13359              0.24660E-02
    171.37      0.67941E-01         0.27742E-02      0.13425              0.27740E-02
    171.84      0.68676E-01         0.27938E-02      0.13498              0.27936E-02
    172.31      0.69365E-01         0.25109E-02      0.13567              0.25107E-02
    172.78      0.69883E-01         0.19633E-02      0.13619              0.19631E-02
    173.25      0.70124E-01         0.12420E-02      0.13643              0.12418E-02
    173.71      0.70028E-01         0.48460E-03      0.13634              0.48440E-03
    174.18      0.69603E-01        -0.14602E-03      0.13591             -0.14623E-03
    174.65      0.68940E-01        -0.49962E-03      0.13525             -0.49982E-03
    175.12      0.68204E-01        -0.48517E-03      0.13452             -0.48538E-03
    175.59      0.67595E-01        -0.10936E-03      0.13391             -0.10957E-03
    176.06      0.67289E-01         0.51144E-03      0.13360              0.51123E-03
    176.52      0.67373E-01         0.11750E-02      0.13369              0.11748E-02
    176.99      0.67807E-01         0.16529E-02      0.13412              0.16527E-02
    177.46      0.68416E-01         0.17731E-02      0.13474              0.17729E-02
    177.93      0.68945E-01         0.15013E-02      0.13527              0.15011E-02
    178.40      0.69158E-01         0.98002E-03      0.13548              0.97981E-03
    178.87      0.68964E-01         0.49012E-03      0.13529              0.48991E-03
    179.33      0.68502E-01         0.31664E-03      0.13483              0.31642E-03
    179.80      0.68094E-01         0.56778E-03      0.13442              0.56756E-03
    180.27      0.68061E-01         0.10636E-02      0.13439              0.10634E-02
    180.74      0.68474E-01         0.14169E-02      0.13480              0.14167E-02
    181.21      0.69056E-01         0.13147E-02      0.13538              0.13145E-02
    181.67      0.69375E-01         0.80333E-03      0.13570              0.80312E-03
    182.14      0.69235E-01         0.26692E-03      0.13557              0.26671E-03
    182.61      0.68854E-01         0.48845E-04      0.13518              0.48629E-04
    183.08      0.68587E-01         0.12104E-03      0.13492              0.12083E-03
    183.55      0.68530E-01         0.20776E-03      0.13486              0.20754E-03
    184.02      0.68506E-01         0.17199E-03      0.13484              0.17177E-03
    184.48      0.68380E-01         0.12854E-03      0.13472              0.12832E-03
    184.95      0.68233E-01         0.20254E-03      0.13457              0.20232E-03
    185.42      0.68187E-01         0.35539E-03      0.13452              0.35517E-03
    185.89      0.68252E-01         0.48265E-03      0.13459              0.48243E-03
    186.36      0.68374E-01         0.54286E-03      0.13471              0.54264E-03
    186.83      0.68525E-01         0.53605E-03      0.13486              0.53583E-03
